UBERON_0001726;papilla of tongue
UBERON_0002990;mammillothalamic tract of hypothalamus
UBERON_0006696;mammillothalamic axonal tract
UBERON_0006698;mammillotegmental axonal tract
UBERON_0001224;renal pelvis
UBERON_0005249;metanephric renal pelvis
UBERON_0001228;renal papilla
UBERON_0004227;kidney pelvis smooth muscle
UBERON_0004788;kidney pelvis urothelium
UBERON_0004200;kidney pyramid
UBERON_0000440;trabecula
UBERON_0000439;arachnoid trabecula
UBERON_0002195;trabecula of lymph node
UBERON_0004791;thymus trabecula
UBERON_0005945;neurocranial trabecula
UBERON_0010183;liver trabecula
UBERON_0000454;cerebral subcortex
UBERON_0010011;collection of basal ganglia
UBERON_0002420;basal ganglion
UBERON_0000369;corpus striatum
UBERON_0002435;striatum
UBERON_0005382;dorsal striatum
UBERON_0005383;caudate-putamen
UBERON_0001873;caudate nucleus
UBERON_0002626;head of caudate nucleus
UBERON_0002628;tail of caudate nucleus
UBERON_0002630;body of caudate nucleus
UBERON_0005403;ventral striatum
UBERON_0002038;substantia nigra
UBERON_0001965;substantia nigra pars compacta
UBERON_0001966;substantia nigra pars reticulata
UBERON_0002995;substantia nigra pars lateralis
UBERON_0006514;pallidum
UBERON_0003978;valve
UBERON_0000946;cardial valve
UBERON_0002086;sinoatrial valve
UBERON_0002133;atrioventricular valve
UBERON_0002134;tricuspid valve
UBERON_0005484;tricuspid valve leaflet
UBERON_0005997;tricuspid valve anulus
UBERON_0002135;mitral valve
UBERON_0005995;mitral valve anulus
UBERON_0005996;mitral valve cusp
UBERON_0007151;mitral valve leaflet
UBERON_0014853;commissural leaflet of mitral valve
UBERON_0014854;anterior leaflet of mitral valve
UBERON_0014855;posterior leaflet of mitral valve
UBERON_0005623;semi-lunar valve
UBERON_0002137;aortic valve
UBERON_0005990;aortic valve cusp
UBERON_0005991;aortic valve anulus
UBERON_0002146;pulmonary valve
UBERON_0005992;pulmonary valve cusp
UBERON_0005993;pulmonary valve anulus
UBERON_0011745;pulmonary valve leaflets
UBERON_0004150;coronary sinus valve
UBERON_0005485;valve of inferior vena cava
UBERON_0006009;cusp of cardiac valve
UBERON_0011741;cardiac valve leaflet
UBERON_0034949;lymphatic valve
UBERON_0006675;venous valve
UBERON_0009973;ureterovesical junction
UBERON_0015420;ureteral valve
UBERON_0001069;head of pancreas
UBERON_0001150;body of pancreas
UBERON_0001151;tail of pancreas
UBERON_0001294;inner medulla of kidney
UBERON_0003455;inner renal medulla loop of Henle
UBERON_0004205;inner medullary collecting duct
UBERON_0004776;inner renal medulla vasa recta
UBERON_0005214;inner renal medulla interstitium
UBERON_0001285;nephron
UBERON_0004194;long nephron
UBERON_0004195;short nephron
UBERON_0005110;metanephric nephron
UBERON_0004737;metanephric collecting duct
UBERON_0005134;metanephric nephron epithelium
UBERON_0005146;metanephric nephron tubule
UBERON_0005129;metanephric distal tubule
UBERON_0005130;metanephric loop of Henle
UBERON_0005127;metanephric thick ascending limb
UBERON_0005148;metanephric S-shaped body
UBERON_0005309;pronephric nephron
UBERON_0005322;mesonephric nephron
UBERON_0005319;mesonephric collecting duct
UBERON_0005330;mesonephric nephron epithelium
UBERON_0001232;collecting duct of renal tubule
UBERON_0004211;nephron epithelium
UBERON_0001231;nephron tubule
UBERON_0007685;region of nephron tubule
UBERON_0001288;loop of Henle
UBERON_0034997;renal medulla loop of Henle
UBERON_0001289;descending limb of loop of Henle
UBERON_0004136;intermediate tubule
UBERON_0005164;ascending limb of loop of Henle
UBERON_0006534;renal convoluted tubule
UBERON_0009035;renal straight tubule
UBERON_0004135;distal tubule
UBERON_0004810;nephron tubule epithelium
UBERON_0001251;marginal zone of spleen
UBERON_0006082;fundus of urinary bladder
UBERON_0007324;pancreatic lobule
UBERON_0006867;anal part of perineum
UBERON_0001367;external anal sphincter
UBERON_0004519;muscle of anal triangle
UBERON_0001609;isthmus of thyroid gland
UBERON_0003891;stroma
UBERON_0007195;stroma of bone marrow
UBERON_0004184;prostate gland stroma
UBERON_0005169;interstitial tissue
UBERON_0006960;ovary stroma
UBERON_0010233;stroma of thyroid gland
UBERON_0016478;liver stroma
UBERON_0018234;stroma of pancreas
UBERON_0002499;cochlear labyrinth
UBERON_0001855;cochlear duct of membranous labyrinth
UBERON_0028194;spiral prominence of cochlear duct
UBERON_0002226;basilar membrane of cochlea
UBERON_0036250;zone of basilar membrane of cochlea
UBERON_0036249;zona pectinata of basilar membrane of cochlea
UBERON_0002820;zona arcuata of basilar membrane of cochlea
UBERON_0002227;spiral organ of cochlea
UBERON_0002233;tectorial membrane of cochlea
UBERON_0002276;lamina of spiral limbus
UBERON_0002277;spiral sulcus
UBERON_0008831;inner spiral sulcus
UBERON_0008832;outer spiral sulcus
UBERON_0002281;vestibular membrane of cochlear duct
UBERON_0002282;stria vascularis of cochlear duct
UBERON_0003243;epithelium of cochlear duct
UBERON_0006725;spiral ligament
UBERON_0008813;helicotrema
UBERON_0011922;cochlear basement membrane
UBERON_0001862;vestibular labyrinth
UBERON_0001856;semicircular duct
UBERON_0001857;anterior semicircular duct
UBERON_0001858;posterior semicircular duct
UBERON_0001859;lateral semicircular duct
UBERON_0004043;semicircular canal ampulla
UBERON_0004721;crista ampullaris
UBERON_0009038;sulcus ampullaris
UBERON_0013764;common crus of semicircular duct
UBERON_0001861;ductus reuniens
UBERON_0002518;otolith organ
UBERON_0001853;utricle of membranous labyrinth
UBERON_0001854;saccule of membranous labyrinth
UBERON_0002212;macula of saccule of membranous labyrinth
UBERON_0003242;epithelium of saccule
UBERON_0016567;statoconial membrane
UBERON_0002519;otolithic part of statoconial membrane
UBERON_0016568;gelatinous layer of statoconial membrane
UBERON_0016569;subcupular meshwork of statoconial membrane
UBERON_0002824;vestibular ganglion
UBERON_0002825;superior part of vestibular ganglion
UBERON_0002826;inferior part of vestibular ganglion
UBERON_0006932;vestibular epithelium
UBERON_0011774;utriculosaccular duct
UBERON_0003976;saccule duct
UBERON_0003977;utricle duct
UBERON_0002271;periventricular zone of hypothalamus
UBERON_0001929;supraoptic nucleus
UBERON_0001930;paraventricular nucleus of hypothalamus
UBERON_0001932;arcuate nucleus of hypothalamus
UBERON_0002273;lateral zone of hypothalamus
UBERON_0001931;lateral preoptic nucleus
UBERON_0002274;perifornical nucleus
UBERON_0002430;lateral hypothalamic area
UBERON_0000435;lateral tuberal nucleus
UBERON_0001937;lateral hypothalamic nucleus
UBERON_0003008;dorsal longitudinal fasciculus of hypothalamus
UBERON_0002272;medial zone of hypothalamus
UBERON_0001933;retrochiasmatic area
UBERON_0001934;dorsomedial nucleus of hypothalamus
UBERON_0002034;suprachiasmatic nucleus
UBERON_0002620;tuber cinereum
UBERON_0007769;medial preoptic region
UBERON_0002259;corpora quadrigemina
UBERON_0001945;superior colliculus
UBERON_0006783;layer of superior colliculus
UBERON_0006786;white matter of superior colliculus
UBERON_0006779;superficial white layer of superior colliculus
UBERON_0006787;middle white layer of superior colliculus
UBERON_0006790;deep white layer of superior colliculus
UBERON_0002580;brachium of superior colliculus
UBERON_0002583;commissure of superior colliculus
UBERON_0006785;gray matter layer of superior colliculus
UBERON_0006120;superior colliculus superficial gray layer
UBERON_0006780;zonal layer of superior colliculus
UBERON_0006782;stratum lemnisci of superior colliculus
UBERON_0006788;middle gray layer of superior colliculus
UBERON_0006789;deep gray layer of superior colliculus
UBERON_0006791;superficial layer of superior colliculus
UBERON_0006793;deep layer of superior colliculus
UBERON_0006792;intermediate layer of superior colliculus
UBERON_0001946;inferior colliculus
UBERON_0002563;central nucleus of inferior colliculus
UBERON_0002571;external nucleus of inferior colliculus
UBERON_0002577;pericentral nucleus of inferior colliculus
UBERON_0003025;brachium of inferior colliculus
UBERON_0003028;commissure of inferior colliculus
UBERON_0009745;lymph node medullary cord
UBERON_0003215;alveolus
UBERON_0005979;crista terminalis
UBERON_0005305;thyroid follicle
UBERON_0012246;thyroid follicular lumen
UBERON_0012363;thyroid follicle epithelium
UBERON_0012364;colloid of thyroid follicle
UBERON_0005449;greater sac
UBERON_0005450;greater sac cavity
UBERON_0016883;ovarian fossa
UBERON_0006003;integumentary adnexa
UBERON_0002419;skin gland
UBERON_0003605;eye skin gland
UBERON_0007771;epidermis gland
UBERON_0001820;sweat gland
UBERON_0000382;apocrine sweat gland
UBERON_0034762;areolar sweat gland
UBERON_0018232;axillary sweat gland
UBERON_0000423;eccrine sweat gland
UBERON_0007773;scrotal sweat gland
UBERON_0004790;skin mucous gland
UBERON_0016852;skin scent gland
UBERON_0013703;integumentary projection
UBERON_0000021;cutaneous appendage
UBERON_0009564;distal limb integumentary appendage
UBERON_0001705;nail
UBERON_0002283;nail matrix
UBERON_0004105;subungual region
UBERON_0015886;root of nail
UBERON_0017163;skin bony tubercle
UBERON_0006059;falx cerebri
UBERON_0006081;fundus of gallbladder
UBERON_0006203;conchal part of pinna
UBERON_0018533;crus of penis or clitoris
UBERON_0006639;crus of penis
UBERON_0006640;crus of clitoris
UBERON_0006691;tentorium cerebelli
UBERON_0006820;body of sternum
UBERON_0007145;dome of diaphragm
UBERON_0011906;muscle head
UBERON_0007168;long head of biceps brachii
UBERON_0007169;short head of biceps brachii
UBERON_0011907;gastrocnemius medialis
UBERON_0011908;gastrocnemius lateralis
UBERON_0010071;layer of tympanic membrane
UBERON_0010070;intermediate layer of tympanic membrane
UBERON_0009647;tympanic membrane epithelium
UBERON_0005042;inner epithelial layer of tympanic membrane
UBERON_0010069;outer epithelial layer of tympanic membrane
UBERON_0010938;muscle belly
UBERON_0010947;occipitalis
UBERON_0010952;frontalis muscle belly
UBERON_0010956;pterygopharyngeal part of superior pharyngeal constrictor
UBERON_0010995;deep part of masseter muscle
UBERON_0013165;epiglottic vallecula
UBERON_0014730;osteon
UBERON_0015139;infundibulum of gallbladder
UBERON_0016464;dorsum of nose
UBERON_0018152;pars flaccida of tympanic membrane
UBERON_0018153;pars tensa of tympanic membrane
FMA_14065;Organ component
FMA_82478;Lobular organ component
FMA_82494;Lobular segment
FMA_7312;Bronchopulmonary segment
FMA_13188;Apical bronchopulmonary segment
FMA_13189;Posterior bronchopulmonary segment
FMA_13190;Anterior bronchopulmonary segment
FMA_13191;Superior bronchopulmonary segment
FMA_13192;Medial basal bronchopulmonary segment
FMA_13193;Anterior basal bronchopulmonary segment
FMA_13194;Lateral basal bronchopulmonary segment
FMA_13195;Posterior basal bronchopulmonary segment
FMA_7360;Medial bronchopulmonary segment
FMA_7361;Lateral bronchopulmonary segment
FMA_7372;Apicoposterior bronchopulmonary segment
FMA_7374;Superior lingular bronchopulmonary segment
FMA_7375;Inferior lingular bronchopulmonary segment
FMA_67619;Organ region
FMA_86140;Organ segment
FMA_15737;Hepatovenous subsector
FMA_15739;Hepatovenous segment II
FMA_15747;Hepatovenous segment IX
FMA_15805;Hepatovenous segment IVa
FMA_15806;Hepatovenous segment IVb
FMA_15816;Hepatovenous segment IXb
FMA_15817;Hepatovenous segment IXc
FMA_15818;Hepatovenous segment IXd
